Ia,Ib,VDC,IDC,T1,T2,T3,VD,FDD
532,388,509,505,515,504,490,509,F0
531,388,507,507,515,504,487,510,F0
532,388,507,505,505,505,481,510,F0
532,387,508,508,515,505,486,509,F0
533,388,508,507,515,504,486,509,F0
532,389,513,506,516,505,489,509,F0
534,387,507,508,515,508,486,510,F0
530,390,507,508,514,505,486,509,F0
533,388,508,504,515,507,486,510,F0
533,390,506,507,515,505,486,509,F0
531,391,506,506,514,504,486,519,F0
531,385,510,509,515,499,486,510,F0
530,392,507,508,515,507,486,509,F0
532,389,509,505,514,505,486,509,F0
531,390,507,506,514,504,486,509,F0
531,387,508,506,515,504,486,510,F0
531,388,509,507,515,504,486,504,F0
532,392,508,506,514,505,501,510,F0
530,387,508,506,513,504,486,510,F0
530,388,508,507,515,505,486,510,F0
532,389,506,507,513,505,485,509,F0
531,390,508,506,514,505,486,509,F0
532,388,507,506,515,505,465,509,F0
536,389,508,508,516,514,487,509,F0
531,390,507,506,514,505,486,509,F0
533,387,506,506,514,505,486,509,F0
530,390,507,506,514,506,486,510,F0
530,390,507,506,515,505,486,509,F0
531,390,507,506,514,542,486,512,F0
532,390,506,505,515,502,486,510,F0
533,390,507,506,514,505,486,508,F0
532,390,506,506,514,504,486,507,F0
532,388,509,506,515,504,486,510,F0
530,388,508,507,514,504,486,509,F0
532,388,508,506,515,494,485,509,F0
531,388,506,505,518,505,495,510,F0
531,386,508,506,514,504,486,509,F0
532,383,505,507,515,505,491,509,F0
531,386,508,505,516,504,487,509,F0
532,386,508,506,515,504,486,509,F0
532,386,506,505,511,504,477,510,F0
534,386,509,506,512,504,491,510,F0
531,387,507,506,515,504,486,510,F0
530,388,508,506,509,504,480,509,F0
530,389,506,506,514,504,485,510,F0
533,389,507,507,515,504,485,508,F0
532,391,506,506,516,504,488,507,F0
532,386,506,507,515,507,485,509,F0
533,390,508,506,514,505,485,509,F0
532,390,508,506,515,507,486,509,F0
530,390,507,505,514,505,486,510,F0
532,390,506,506,514,505,486,503,F0
532,390,508,509,515,494,485,512,F0
533,389,508,508,514,506,485,509,F0
531,390,509,505,514,505,485,507,F0
533,388,507,506,515,504,486,508,F0
531,390,508,507,514,504,485,509,F0
532,386,508,504,514,487,485,509,F0
532,387,509,506,518,505,495,510,F0
531,386,506,505,514,504,486,509,F0
531,386,509,507,514,504,491,508,F0
534,385,508,507,516,504,486,509,F0
532,386,508,506,515,504,485,509,F0
531,387,505,508,509,504,480,508,F0
533,387,506,506,516,504,488,508,F0
532,389,508,505,515,504,485,509,F0
532,386,508,508,511,504,482,510,F0
529,388,509,507,514,504,485,510,F0
532,389,507,507,514,504,448,510,F0
532,391,508,508,516,514,486,509,F0
532,388,508,506,514,505,485,509,F0
533,391,506,507,515,504,485,509,F0
533,392,507,507,514,505,485,509,F0
